episode,episode_steps,duration_s,total_reward,avg_reward_per_step,termination_reason,mean_abs_steering,steering_saturation_rate_abs_gt_0_8,min_steering,max_steering
1,1084,41.497396,534.5,0.493081,boundary_or_stuck,0.650786,0.484317,-1.0,1.0
2,1084,38.228736,534.5,0.493081,boundary_or_stuck,0.650791,0.484317,-1.0,1.0
3,1084,35.749435,534.5,0.493081,boundary_or_stuck,0.650786,0.484317,-1.0,1.0
4,1084,36.707899,534.5,0.493081,boundary_or_stuck,0.650786,0.484317,-1.0,1.0
5,1084,36.460742,534.5,0.493081,boundary_or_stuck,0.650786,0.484317,-1.0,1.0
6,1084,36.787339,534.5,0.493081,boundary_or_stuck,0.650786,0.484317,-1.0,1.0
7,1084,36.44998,534.5,0.493081,boundary_or_stuck,0.650786,0.484317,-1.0,1.0
8,1084,36.687298,534.5,0.493081,boundary_or_stuck,0.650786,0.484317,-1.0,1.0
9,1084,36.834742,534.5,0.493081,boundary_or_stuck,0.650786,0.484317,-1.0,1.0
10,1084,37.615475,534.5,0.493081,boundary_or_stuck,0.650786,0.484317,-1.0,1.0
11,1084,37.356054,534.5,0.493081,boundary_or_stuck,0.650786,0.484317,-1.0,1.0
12,1084,36.597994,534.5,0.493081,boundary_or_stuck,0.650786,0.484317,-1.0,1.0
13,1084,36.61002,534.5,0.493081,boundary_or_stuck,0.650786,0.484317,-1.0,1.0
14,1084,35.999554,534.5,0.493081,boundary_or_stuck,0.650786,0.484317,-1.0,1.0
15,1084,36.463597,534.5,0.493081,boundary_or_stuck,0.650786,0.484317,-1.0,1.0
16,1084,36.628029,534.5,0.493081,boundary_or_stuck,0.650786,0.484317,-1.0,1.0
17,215,7.340924,107.5,0.5,interrupted_or_time_limit,0.685433,0.506977,-1.0,1.0
