episode,episode_steps,duration_s,total_reward,avg_reward_per_step,termination_reason,mean_abs_steering,mean_throttle_raw,mean_throttle_clamped,steering_saturation_rate_abs_gt_0_8,max_forward_speed,final_x,final_y
1,1500,51.347323,4141.595435,2.761064,max_steps_timeout,0.404583,0.789889,0.791773,0.103333,0.770062,-1.142679,0.35098
2,1500,52.268866,4222.295777,2.814864,max_steps_timeout,0.39556,0.806805,0.807295,0.105333,0.767815,-1.250922,-0.203912
3,1500,59.392783,4202.223328,2.801482,max_steps_timeout,0.403882,0.80521,0.805411,0.126667,0.75669,-1.272118,-0.170519
4,1500,66.367953,4277.117003,2.851411,max_steps_timeout,0.39737,0.81684,0.816879,0.117333,0.75669,-1.138824,-0.523231
5,206,7.693913,529.384428,2.569827,red_blue_boundary,0.499464,0.765192,0.765192,0.218447,0.75669,-0.423,-0.913506
6,1500,65.475411,4037.970843,2.691981,max_steps_timeout,0.419341,0.771485,0.773487,0.108,0.790214,-0.402393,0.755582
7,201,6.88494,521.763416,2.595838,red_blue_boundary,0.506835,0.779841,0.779841,0.233831,0.75669,-0.455236,-0.921783
8,1500,50.972323,4248.266942,2.832178,max_steps_timeout,0.39269,0.81222,0.812548,0.111333,0.75669,-1.2144,-0.327182
9,1500,53.53669,4265.251313,2.843501,max_steps_timeout,0.405869,0.811694,0.811707,0.120667,0.763368,-1.239088,-0.375536
10,1500,51.597661,4302.783222,2.868522,max_steps_timeout,0.397703,0.820776,0.821157,0.11,0.767604,-1.065766,-0.644674
11,1500,53.648382,4146.634827,2.764423,max_steps_timeout,0.399223,0.795849,0.79732,0.108667,0.75669,-1.262939,0.086176
12,1500,50.7127,4197.470282,2.798314,max_steps_timeout,0.405419,0.799109,0.799506,0.106667,0.75669,-1.290594,-0.062234
13,890,30.105776,2354.851435,2.6459,interrupted_or_time_limit,0.422326,0.76467,0.767973,0.119101,0.75669,1.313183,0.410418
